,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
160,Yeni tikili,15 / 17,50 m²,2,var,,,78000,AZN,"Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.",40.36783447655492,Bakı,49.94667781824284,3144759,12 Dekabr 2022 
161,Yeni tikili,14 / 17,75 m²,2,yoxdur,,,86500,AZN,"Əhmədli m.,Xətai r.",40.39816149998397,Bakı,49.84086155891422,3144762,07 Yanvar 2023 
162,Yeni tikili,5 / 16,75.5 m²,2,var,var,var,160000,AZN,Səbail r.,40.37742938831814,Bakı,49.80915784835819,3144770,21 Yanvar 2023 
163,Yeni tikili,14 / 14,80 m²,3,var,,,229000,AZN,"Yasamal bazarı ,ASAN Xidmət №3 ,Elmlər Akademiyası m.,Yasamal r.",40.39203732471822,Bakı,49.84165549278259,3144771,07 Yanvar 2023 
164,Köhnə tikili,4 / 5,55 m²,2,var,,,90000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.41684502367022,Bakı,49.81653062063868,3144777,23 Dekabr 2022 
165,Yeni tikili,15 / 17,80 m²,3,var,var,var,168000,AZN,"Dərnəgül m.,Binəqədi r.",40.4053327515815,Bakı,49.81380344106,3144779,07 Yanvar 2023 
166,Yeni tikili,4 / 17,88 m²,2,yoxdur,,,181000,AZN,"Koala parkı ,Dostluq kinoteatrı ,Nəsimi bazarı ,Zoopark ,Nərimanov r.",40.38321447491986,Bakı,49.87406198881672,3144785,07 Yanvar 2023 
167,Yeni tikili,12 / 17,121 m²,3,var,var,var,205000,AZN,"Zərifə Əliyeva adına park ,Nəsimi m.,Memar Əcəmi m.,Binəqədi r.,9-cu mikrorayon q.",40.4215629160097,Bakı,49.8154880751465,3144791,21 Dekabr 2022 
168,Yeni tikili,8 / 12,81 m²,3,var,,,160000,AZN,"ASAN Xidmət №1 ,8 Noyabr m.,Nəsimi r.",40.40074730731935,Bakı,49.83089379743081,3144797,07 Yanvar 2023 
169,Yeni tikili,2 / 16,82 m²,2,var,,,155000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.38264366149726,Bakı,49.87209320068359,3144798,07 Yanvar 2023 
170,Yeni tikili,15 / 16,181 m²,4,var,var,var,370000,AZN,"20 Yanvar m.,Yasamal r.",40.40137300498142,Bakı,49.80161989828986,3144806,Dünən 16:00 
171,Köhnə tikili,3 / 9,55 m²,2,var,,,85000,AZN,"Suraxanı r.,Yeni Günəşli q.",40.38382049491718,Bakı,49.98004674911499,3144810,07 Yanvar 2023 
172,Yeni tikili,11 / 16,144 m²,4,yoxdur,,,330000,AZN,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.37998753828459,Bakı,49.85486268997196,3147504,18 Fevral 2023 
173,Köhnə tikili,4 / 5,68 m²,2,var,,,95000,AZN,"Sabunçu r.,Bakıxanov q.",40.41167961732732,Bakı,49.94238121798746,3147506,02 Yanvar 2023 
174,Yeni tikili,14 / 17,210 m²,4,var,,,595000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,Tibb Universiteti ,Nəsimi r.",40.39905865655651,Bakı,49.83489947888187,3147510,22 Mart 2023 
175,Yeni tikili,10 / 17,85 m²,3,yoxdur,,,135000,AZN,"Neftçilər m.,Nizami r.",40.39045008382347,Bakı,49.830508675731,3147512,08 Yanvar 2023 
176,Yeni tikili,5 / 16,52 m²,2,var,var,var,120000,AZN,"Qara Qarayev m.,Nizami r.",40.37005679625383,Bakı,49.82993423938751,3147516,08 Yanvar 2023 
177,Köhnə tikili,6 / 9,80 m²,3,var,var,var,134000,AZN,"Azərbaycan turizm institutu ,Respublika stadionu ,Gənclik m.,Nərimanov r.",40.39816149998397,Bakı,49.84086155891422,3147521,16 Dekabr 2022 
178,Yeni tikili,12 / 19,134 m²,3,yoxdur,,,235000,AZN,"ASAN Xidmət №3 ,Yasamal bazarı ,Elmlər Akademiyası m.,Yasamal r.",40.39203732471822,Bakı,49.84165549278259,3148135,09 Yanvar 2023 
179,Köhnə tikili,3 / 5,55 m²,2,var,,,87000,AZN,"Memar Əcəmi m.,Nəsimi m.,Nəsimi r.,4-cü mikrorayon q.",40.41717925806519,Bakı,49.82284292471452,3149134,09 Yanvar 2023 
180,Yeni tikili,3 / 12,84 m²,3,,,,145000,AZN,Yasamal r.,40.37620916175648,Bakı,49.81580107043555,3149138,09 Yanvar 2023 
181,Yeni tikili,8 / 16,135 m²,3,var,,,375000,AZN,"Neft Akademiyası ,28 May m.,Bakı Musiqi Akademiyası ,Bakı Slavyan Universiteti ,Milli Konservatoriya ,Azərbaycan Dillər Universiteti ,Sahil m.,Nəsimi r.",40.38060338746916,Bakı,49.84528907281189,3149145,09 Yanvar 2023 
182,Yeni tikili,14 / 16,104 m²,2,yoxdur,,,150000,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.39816149998397,Bakı,49.84086155891422,3149149,10 Yanvar 2023 
183,Yeni tikili,2 / 12,180 m²,4,var,var,var,300000,AZN,"Binəqədi r.,8-ci mikrorayon q.",40.40952590477563,Bakı,49.84445571899418,3149164,13 Mart 2023 
184,Yeni tikili,13 / 20,92 m²,3,var,,,135000,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.39426147622149,Bakı,49.79740325927734,3149165,09 Yanvar 2023 
185,Yeni tikili,4 / 16,81 m²,2,yoxdur,,,120000,AZN,"Qara Qarayev m.,Nizami r.",40.36942330420567,Bakı,49.82101321220402,3149178,24 Yanvar 2023 
186,Yeni tikili,6 / 16,80 m²,3,var,,,103900,AZN,Xırdalan,40.45260163052343,Xırdalan,49.73205727929325,3149179,10 Fevral 2023 
187,Yeni tikili,17 / 17,105 m²,3,var,,,165000,AZN,"Xətai r.,Əhmədli q.",40.38930339224178,Bakı,49.85948536585312,3149181,09 Yanvar 2023 
188,Yeni tikili,2 / 18,110 m²,3,var,var,var,160000,AZN,"Yasamal r.,Yeni Yasamal q.",40.3863886681378,Bakı,49.80817391355895,3149184,09 Yanvar 2023 
