,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka
341,Yeni tikili,4 / 22,180 m²,3,var,,450000,AZN,"28 May m.,Neft Akademiyası ,Bakı Musiqi Akademiyası ,Səməd Vurğun parkı ,Milli Konservatoriya ,Sahil m.,Nəsimi r.",40.40554735588255,Bakı,49.87506508827209,3261544,09 Mart 2023 ,
342,Yeni tikili,8 / 16,60 m²,1,var,,146000,AZN,"Dərnəgül m.,Binəqədi r.,7-ci mikrorayon q.",40.42512778940431,Bakı,49.86188514874789,3262064,08 Mart 2023 ,
343,Yeni tikili,12 / 24,187 m²,4,yoxdur,,343000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.40828416527557,Bakı,49.87069845199589,3262069,04 Mart 2023 ,
344,Yeni tikili,5 / 5,49 m²,2,yoxdur,,54000,AZN,"Abşeron r.,Masazır q.",40.4862557,Bakı,49.75753099999997,3262070,08 Mart 2023 ,
345,Yeni tikili,14 / 19,174 m²,4,var,var,280000,AZN,"Bakı Asiya Universiteti ,8 Noyabr m.,Nəsimi r.",40.40606433283491,Bakı,49.86231650326251,3264263,10 Mart 2023 ,var
346,Yeni tikili,3 / 17,100 m²,3,var,var,260000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.39816149998397,Bakı,49.84086155891422,3265035,11 Mart 2023 ,var
347,Köhnə tikili,3 / 3,64 m²,2,var,,76000,AZN,Abşeron r.,40.45511190000001,Xırdalan,49.74459389999993,3265480,10 Mart 2023 ,
348,Yeni tikili,19 / 21,153 m²,3,yoxdur,,243888,AZN,"Tibb Universiteti ,ASAN Xidmət №1 ,Nərimanov r.",40.38080859350129,Bakı,49.95724192764082,3265682,10 Mart 2023 ,
349,Yeni tikili,4 / 18,146 m²,3,var,var,220000,AZN,"Ayna Sultanova heykəli ,Nərimanov r.",40.40328327684168,Bakı,49.85078707337379,3265737,10 Mart 2023 ,var
350,Köhnə tikili,5 / 5,100 m²,4,var,var,105000,AZN,"Binəqədi r.,Biləcəri q.",40.39980377915154,Bakı,49.86642837524414,3265896,11 Mart 2023 ,var
351,Yeni tikili,4 / 16,65 m²,2,yoxdur,,130000,AZN,"Şərq bazarı ,28 May m.,Nərimanov r.",40.39989258617802,Bakı,49.83979431395813,3265905,10 Mart 2023 ,
352,Köhnə tikili,1 / 5,40 m²,1,var,yoxdur,80000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.40952590477563,Bakı,49.84445571899418,3265914,13 Mart 2023 ,var
353,Köhnə tikili,5 / 5,56 m²,2,var,,92000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.41775573363151,Bakı,49.81248227332622,3265918,10 Mart 2023 ,
354,Köhnə tikili,7 / 9,80 m²,3,var,var,155000,AZN,"Əhmədli m.,Xətai r.",40.39980377915154,Bakı,49.86642837524414,3265922,10 Mart 2023 ,var
355,Yeni tikili,8 / 17,80 m²,2,var,var,190000,AZN,"Gənclik m.,Respublika stadionu ,Nərimanov r.",40.38218599850386,Bakı,49.81046676635742,3265927,10 Fevral 2023 ,var
356,Yeni tikili,16 / 18,45 m²,1,var,,81000,AZN,Xətai r.,40.38855213843042,Bakı,49.87120270729065,3266246,11 Mart 2023 ,
357,Yeni tikili,1 / 18,55 m²,2,var,var,105000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.38930339224178,Bakı,49.85948536585312,3266307,10 Mart 2023 ,var
358,Yeni tikili,8 / 18,58 m²,2,var,,130000,AZN,"20 Yanvar m.,İnşaatçılar m.,Yasamal r.",40.39203732471822,Bakı,49.84165549278259,3266435,10 Mart 2023 ,
359,Köhnə tikili,5 / 5,45 m²,2,var,,95000,AZN,"Memar Əcəmi m.,20 Yanvar m.,Nəsimi r.",40.36942330420567,Bakı,49.82101321220402,3266439,21 Mart 2023 ,
360,Yeni tikili,8 / 9,62 m²,2,yoxdur,,121000,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.3839039,Bakı,49.79972640000005,3266575,10 Mart 2023 ,
361,Yeni tikili,2 / 6,48 m²,1,yoxdur,,65000,AZN,"Xətai r.,Həzi Aslanov q.",40.36059465695023,Bakı,49.94690380839167,3266625,10 Mart 2023 ,
362,Köhnə tikili,4 / 5,65 m²,2,var,var,135000,AZN,"Nəsimi m.,Zərifə Əliyeva adına park ,Binəqədi r.,6-cı mikrorayon q.",40.39980377915154,Bakı,49.86642837524414,3267066,11 Mart 2023 ,var
363,Yeni tikili,5 / 17,145 m²,4,var,yoxdur,215000,AZN,"Botanika bağı ,Səbail r.,Badamdar q.",40.39816149998397,Bakı,49.84086155891422,3267069,11 Fevral 2023 ,var
364,Köhnə tikili,8 / 9,65 m²,2,var,,110000,AZN,"Ukrayna dairəsi ,Əhmədli m.,Həzi Aslanov m.,Xətai r.,Əhmədli q.",40.37953815654027,Bakı,49.95500302322559,3267226,10 Mart 2023 ,
365,Köhnə tikili,5 / 5,50 m²,2,var,,92000,AZN,"Həzi Aslanov m.,Xətai r.",40.39298300258589,Bakı,49.95403544813546,3270038,12 Mart 2023 ,
366,Yeni tikili,4 / 14,170 m²,4,yoxdur,,204000,AZN,"Memar Əcəmi m.,Nəsimi r.",40.36942330420567,Bakı,49.82101321220402,3270680,14 Mart 2023 ,
367,Köhnə tikili,7 / 9,50 m²,3,var,,105000,AZN,"Əhmədli m.,Xətai r.,Əhmədli q.",40.38264366149726,Bakı,49.87209320068359,3270864,12 Mart 2023 ,
368,Köhnə tikili,8 / 9,80 m²,3,,,165000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.42612122254329,Bakı,49.84150353597693,3270866,14 Fevral 2023 ,
369,Yeni tikili,5 / 18,133 m²,3,var,var,240000,AZN,"Bakı Asiya Universiteti ,8 Noyabr m.,20 Yanvar m.,Nəsimi r.",40.40606433283491,Bakı,49.86231650326251,3270870,12 Mart 2023 ,var
370,Yeni tikili,11 / 16,60 m²,2,var,var,120000,AZN,"Səbail r.,Badamdar q.",40.40606433283491,Bakı,49.86231650326251,3270872,12 Mart 2023 ,var
371,Yeni tikili,1 / 16,55 m²,1,var,,105000,AZN,"Dərnəgül m.,Binəqədi r.,8-ci mikrorayon q.",40.41941149313031,Bakı,49.85299335192872,3270877,12 Mart 2023 ,
372,Yeni tikili,8 / 18,53 m²,2,var,,126000,AZN,"Qara Qarayev m.,Nizami r.",40.38499730777751,Bakı,49.83810424804688,3270896,12 Mart 2023 ,
373,Köhnə tikili,3 / 9,80 m²,3,,,155000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.42591704101684,Bakı,49.84168458246609,3270899,12 Mart 2023 ,
374,Yeni tikili,6 / 6,86 m²,3,yoxdur,,60000,AZN,"Abşeron r.,Masazır q.",40.45248312837339,Bakı,49.74206189468987,3270903,12 Mart 2023 ,
375,Köhnə tikili,3 / 9,75 m²,3,var,,152000,AZN,"Qara Qarayev m.,Neftçilər m.,Nizami r.,8-ci kilometr q.",40.38873191798482,Bakı,49.95395421981815,3270904,12 Mart 2023 ,
