,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka,Təmir
114,Yeni tikili,10 / 18,90 m²,3,var,169000,AZN,"Memar Əcəmi m.,Nəsimi r.",40.4053327515815,Bakı,49.81380344106,2793114,01 Oktyabr 2022 ,,
115,Yeni tikili,9 / 16,110 m²,3,var,200000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.39989258617802,Bakı,49.83979431395813,2793998,12 Oktyabr 2022 ,,
116,Yeni tikili,5 / 16,115 m²,2,var,233450,AZN,"Dövlət Statistika Komitəsi ,İncəsənət və Mədəniyyət Un. ,Nizami m.,Yasamal r.,Yasamal q.",40.38100913652913,Bakı,49.83001470565796,2794049,10 Fevral 2023 ,,
117,Yeni tikili,5 / 16,250 m²,4,,550000,AZN,"Nəriman Nərimanov parkı ,Nəriman Nərimanov m.,Nərimanov r.",40.39414959485713,Bakı,49.7993946075439,2794206,21 Dekabr 2022 ,,
118,Köhnə tikili,1 / 2,32 m²,2,,75000,AZN,"Beşmərtəbə ,Qış parkı ,Mərkəzi Univermaq ,Sahil m.,Nəsimi r.",40.37533198376934,Bakı,49.81793688867354,2795964,28 Sentyabr 2022 ,,
119,Yeni tikili,2 / 16,140 m²,5,var,270000,AZN,"Əhmədli m.,Xətai r.,Əhmədli q.",40.39489418492813,Bakı,49.86098617315296,2796074,22 Dekabr 2022 ,,
120,Yeni tikili,3 / 17,95 m²,3,,147000,AZN,"Bayıl parkı ,Səbail r.,Bayıl q.",40.37005679625383,Bakı,49.82993423938751,2799132,26 Yanvar 2023 ,,
121,Yeni tikili,17 / 18,210 m²,3,var,167000,AZN,"Əhmədli m.,Xətai r.,Əhmədli q.",40.37024250177031,Bakı,49.97394200996779,2799981,26 Noyabr 2022 ,var,var
122,Yeni tikili,13 / 16,142 m²,3,var,239900,AZN,Nizami r.,40.36942330420567,Bakı,49.82101321220402,2802012,29 Noyabr 2022 ,,
123,Köhnə tikili,3 / 4,110 m²,4,var,270000,AZN,"Fontanlar bağı ,Mərkəzi Univermaq ,Azərbaycan kinoteatrı ,M.Ə.Sabir parkı ,Sahil m.,Səbail r.",40.37849802028471,Bakı,49.87448841333393,2802169,02 Noyabr 2022 ,var,var
124,Yeni tikili,13 / 13,297 m²,4,,695000,AZN,"Sirk ,Zabitlər parkı ,Azərbaycan Dillər Universiteti ,Bakı Slavyan Universiteti ,Nəsimi r.",40.38002022966838,Bakı,49.85552251338959,2802253,07 Mart 2023 ,,
125,Yeni tikili,11 / 14,68 m²,2,,98000,AZN,"Neapol dairəsi ,Əhmədli m.,Xətai r.,Əhmədli q.",40.38323208077717,Bakı,49.9607241153717,2805105,24 Oktyabr 2022 ,,
