,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longtitude,id,İpoteka,Təmir
75,Yeni tikili,5 / 16,94 m²,2,var,185000,AZN,"Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.",40.41597422136568,Bakı,49.81327066350708,3067640,var,var
76,Yeni tikili,6 / 16,210 m²,4,var,380000,AZN,"İnşaatçılar m.,Yasamal bazarı ,Yasamal r.,Yasamal q.",40.38816806232006,Bakı,49.83243942260742,3069376,var,var
77,Yeni tikili,9 / 12,60 m²,2,,110000,AZN,"Xalqlar Dostluğu m.,Nizami r.",40.39445113274821,Bakı,49.95105349836715,3070244,,
78,Yeni tikili,17 / 17,75 m²,2,var,125000,AZN,Səbail r.,40.37649764183499,Bakı,49.84163403511051,3071112,,
79,Yeni tikili,4 / 14,52.5 m²,1,var,55500,AZN,"Abşeron r.,Masazır q.",40.48428822960071,Bakı,49.757439494133,3071980,,
80,Yeni tikili,8 / 16,232 m²,5,var,429900,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.40670514618196,Bakı,49.86905289403044,3072848,,
81,Yeni tikili,13 / 19,107 m²,2,var,220000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,Nəsimi r.",40.40151989948133,Bakı,49.84751267278616,3074584,,
82,Yeni tikili,14 / 17,140 m²,3,var,220000,AZN,"İnşaatçılar m.,Yasamal r.,Yasamal q.",40.37224994422943,Bakı,49.83342432222912,3075452,var,var
83,Yeni tikili,3 / 17,120.2 m²,3,var,205000,AZN,Nərimanov r.,40.4089166,Bakı,49.86399959999994,3077188,var,yoxdur
84,Yeni tikili,5 / 16,120.5 m²,3,var,250500,AZN,Nərimanov r.,40.4089166,Bakı,49.86399959999994,3078056,,
85,Yeni tikili,9 / 12,51 m²,2,yoxdur,117000,AZN,"Qara Qarayev m.,Nizami r.",40.37375136672051,Bakı,49.95380401611332,3080660,,
86,Yeni tikili,9 / 12,85 m²,3,var,137000,AZN,Yasamal r.,40.37660389427779,Bakı,49.8131650686264,3083264,,
87,Köhnə tikili,2 / 9,70 m²,2,var,99000,AZN,"Həzi Aslanov m.,Xətai r.",40.36830725621694,Bakı,49.95259435652255,3084132,,
88,Yeni tikili,9 / 17,108 m²,2,yoxdur,145800,AZN,"Qara Qarayev m.,Nizami r.,8-ci kilometr q.",40.41761298963356,Bakı,49.93414878845215,3087604,,
89,Yeni tikili,11 / 13,142 m²,3,var,258000,AZN,Nərimanov r.,40.40165027405231,Bakı,49.86080646514893,3088472,,
90,Yeni tikili,8 / 16,133.5 m²,3,yoxdur,163000,AZN,Xətai r.,40.40328327684168,Bakı,49.85078707337379,3090208,,
91,Köhnə tikili,6 / 9,53 m²,2,var,105000,AZN,"Yasamal r.,Yasamal q.",40.40001789124755,Bakı,49.79878226242681,3091944,,
92,Yeni tikili,9 / 18,265 m²,5,var,450000,AZN,"Zoopark ,Gənclik m.,Nərimanov r.",40.38264366149726,Bakı,49.87209320068359,3092812,,
93,Yeni tikili,6 / 15,100 m²,2,var,150000,AZN,"Azadlıq Prospekti m.,Binəqədi r.",40.40328327684168,Bakı,49.85078707337379,3093680,,
94,Yeni tikili,9 / 16,200 m²,3,var,395000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.39352858614141,Bakı,49.8204231262207,3094548,var,var
95,Köhnə tikili,5 / 7,80 m²,3,var,180000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38781667161964,Bakı,49.85220193862915,3096284,var,var
96,Yeni tikili,4 / 16,52.7 m²,1,yoxdur,80000,AZN,"Qara Qarayev m.,Nizami r.",40.41192472854137,Bakı,49.93526656585219,3098888,,
97,Yeni tikili,17 / 19,110 m²,2,,142000,AZN,"Nizami r.,8-ci kilometr q.",40.40946380579184,Bakı,49.95606609113769,3100624,,
98,Yeni tikili,2 / 16,60 m²,1,yoxdur,89000,AZN,"Neftçilər m.,Nizami r.",40.39989258617802,Bakı,49.83979431395813,3101492,,
99,Yeni tikili,2 / 19,100 m²,2,var,146000,AZN,"Bakı Asiya Universiteti ,8 Noyabr m.,Nəsimi r.",40.39205366748811,Bakı,49.84065234661102,3102360,var,var
100,Köhnə tikili,4 / 5,65 m²,2,var,145000,AZN,"Elmlər Akademiyası m.,Hüseyn Cavid parkı ,Texniki Universiteti ,Yasamal r.",40.40210780478213,Bakı,49.85758781433109,3103228,,
101,Yeni tikili,4 / 12,151 m²,3,var,302000,AZN,"Səbail r.,Bayıl q.",40.34248520249665,Bakı,49.83951088953356,3104096,,
102,Yeni tikili,15 / 17,58 m²,2,,88000,AZN,"Suraxanı r.,Massiv V q.",40.41934464307053,Bakı,49.92526531219486,3104964,,
103,Köhnə tikili,7 / 9,56 m²,2,var,76000,AZN,"Xətai r.,Əhmədli q.",40.36398996402249,Bakı,49.96271750949906,3105832,,
104,Yeni tikili,8 / 16,70 m²,2,var,182000,AZN,"Bakmil m.,Nərimanov r.",40.40210780478213,Bakı,49.85758781433109,3108436,var,var
105,Yeni tikili,6 / 15,100 m²,2,var,130000,AZN,Xırdalan,40.40687051020995,Xırdalan,49.81628229163361,3110172,var,var
106,Köhnə tikili,2 / 3,100 m²,3,var,190000,AZN,"Dağüstü parkı ,Azneft meydanı ,İçəri Şəhər m.,Səbail r.",40.37533198376934,Bakı,49.81793688867354,3113644,,
107,Yeni tikili,10 / 18,172 m²,3,yoxdur,420000,AZN,"Park Zorge ,Nəsimi bazarı ,Rusiya səfirliyi ,Nəsimi r.",40.39229311458828,Bakı,49.83558612438968,3114512,,
