,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date
253,Yeni tikili,5 / 20,76 m²,2,var,,,145000,AZN,"Xətai r.,Əhmədli q.",40.3679082827185,Bakı,49.96067591546736,3103997,17 Dekabr 2022 
254,Yeni tikili,3 / 16,160 m²,4,var,var,var,352000,AZN,"28 May m.,Neft Akademiyası ,Bakı Musiqi Akademiyası ,Bakı Slavyan Universiteti ,Nəsimi r.",40.39203732471822,Bakı,49.84165549278259,3103999,17 Dekabr 2022 
255,Yeni tikili,15 / 20,114 m²,3,var,var,yoxdur,215000,AZN,"ASAN Xidmət №3 ,Yasamal bazarı ,Elmlər Akademiyası m.,Yasamal r.",40.38257828125999,Bakı,49.80385780334476,3104036,17 Dekabr 2022 
256,Yeni tikili,10 / 19,125 m²,4,yoxdur,var,var,505000,AZN,"Hüseyn Cavid parkı ,Elmlər Akademiyası m.,Yasamal r.,Yasamal q.",40.37849802028471,Bakı,49.87448841333393,3104038,17 Fevral 2023 
257,Yeni tikili,4 / 20,158 m²,3,var,,,395000,AZN,"Sovetski ,Texniki Universiteti ,Nərimanov heykəli ,Hüseyn Cavid parkı ,Yasamal r.",40.37002187499623,Bakı,49.8208043050219,3104062,17 Dekabr 2022 
258,Yeni tikili,15 / 22,75 m²,2,var,var,var,125000,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.39197603929571,Bakı,49.80684041976929,3104066,17 Dekabr 2022 
259,Yeni tikili,7 / 18,102 m²,3,var,,,255000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.39203732471822,Bakı,49.84165549278259,3104120,17 Dekabr 2022 
260,Köhnə tikili,5 / 5,60 m²,3,var,,,135000,AZN,"Elmlər Akademiyası m.,Hüseyn Cavid parkı ,Yasamal r.",40.39205366748811,Bakı,49.84065234661102,3104138,17 Dekabr 2022 
261,Yeni tikili,3 / 16,97 m²,3,var,,,130000,AZN,"Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.",40.37067802138273,Bakı,49.95311737060547,3104152,17 Dekabr 2022 
262,Yeni tikili,10 / 18,123 m²,3,var,var,var,275000,AZN,"Tibb Universiteti ,ASAN Xidmət №1 ,Nəsimi r.",40.40606433283491,Bakı,49.86231650326251,3104193,09 Fevral 2023 
263,Yeni tikili,3 / 16,90 m²,2,yoxdur,,,198000,AZN,"Nəriman Nərimanov m.,Nəriman Nərimanov parkı ,Nərimanov r.",40.42501388353632,Bakı,49.91049531402914,3104212,08 Fevral 2023 
264,Yeni tikili,12 / 18,86 m²,3,var,var,var,205000,AZN,"ASAN Xidmət №1 ,Neftçi bazası ,Nəsimi r.",40.39967961426903,Bakı,49.8366160926514,3104223,13 Fevral 2023 
265,Yeni tikili,15 / 20,114 m²,3,var,var,yoxdur,215000,AZN,"ASAN Xidmət №3 ,Yasamal bazarı ,Elmlər Akademiyası m.,Yasamal r.,Yasamal q.",40.37942319692406,Bakı,49.80887754568217,3104228,17 Dekabr 2022 
266,Yeni tikili,14 / 19,84 m²,2,var,,,165000,AZN,"İnşaatçılar m.,Yasamal r.",40.38699116952946,Bakı,49.80308333388484,3104255,17 Dekabr 2022 
267,Yeni tikili,7 / 18,115 m²,3,var,,,198000,AZN,"Yasamal r.,Yeni Yasamal q.",40.37024250177031,Bakı,49.97394200996779,3104266,23 Mart 2023 
268,Yeni tikili,17 / 19,61 m²,2,yoxdur,,,143000,AZN,"İnşaatçılar m.,Yasamal r.",40.39295828043993,Bakı,49.80856696091314,3104307,17 Dekabr 2022 
269,Köhnə tikili,2 / 9,75 m²,2,var,var,var,97000,AZN,Xətai r.,40.37041645360539,Bakı,49.95307445526123,3104329,17 Dekabr 2022 
270,Yeni tikili,12 / 18,55 m²,2,var,,,135000,AZN,"TQDK ,Neftçi bazası ,ASAN Xidmət №1 ,Nərimanov r.",40.42527440160644,Bakı,49.85134363174438,3104343,17 Dekabr 2022 
271,Yeni tikili,10 / 20,160 m²,3,,,,430000,AZN,"Elmlər Akademiyası m.,Hüseyn Cavid parkı ,Yasamal r.",40.37492835547528,Bakı,49.81511235237122,3104354,17 Dekabr 2022 
272,Köhnə tikili,2 / 8,100 m²,3,var,,,244000,AZN,"İqsadiyyat Universiteti ,Axundov bağı ,M.Ə.Sabir parkı ,Dövlət İdarəçilik Akademiyası ,İçəri Şəhər m.,Mərkəzi Univermaq ,Qubernator parkı ,Prezident parkı ,Səbail r.",40.36909214442979,Bakı,49.83130199617778,3104359,17 Dekabr 2022 
273,Köhnə tikili,1 / 2,40 m²,2,var,,,90000,AZN,"Sabunçu r.,Bakıxanov q.",40.43235987048206,Bakı,49.95012226023199,3104362,17 Dekabr 2022 
274,Yeni tikili,4 / 17,91 m²,2,var,,,210000,AZN,"Hüseyn Cavid parkı ,Elmlər Akademiyası m.,Yasamal r.",40.37396671665789,Bakı,49.82045145003571,3104379,17 Dekabr 2022 
275,Köhnə tikili,4 / 5,62 m²,3,var,,,85000,AZN,"Həzi Aslanov m.,Xətai r.,Əhmədli q.",40.37240520907643,Bakı,49.95432180192335,3104393,17 Dekabr 2022 
276,Yeni tikili,14 / 17,100 m²,3,yoxdur,,,149000,AZN,"Xətai r.,Həzi Aslanov q.",40.37818602491442,Bakı,49.92375846266631,3104425,17 Dekabr 2022 
277,Yeni tikili,12 / 13,130 m²,4,var,var,var,310000,AZN,"Yasamal r.,Yasamal q.",40.39695677564799,Bakı,49.81467198882463,3104450,17 Dekabr 2022 
278,Yeni tikili,6 / 12,200 m²,4,var,,,500000,AZN,"Beşmərtəbə ,Nizami m.,Yasamal r.",40.40554735588255,Bakı,49.87506508827209,3104454,17 Dekabr 2022 
