,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longitude,id,date,Təmir,İpoteka
5936,Yeni tikili,16 / 20,160 m²,3,var,360000,AZN,"TQDK ,Neftçi bazası ,Nərimanov r.",40.3863886681378,Bakı,49.80817391355895,3027204,03 Noyabr 2022 ,var,var
5937,Yeni tikili,16 / 24,227 m²,5,var,280000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38535688538403,Bakı,49.82866287231445,3027209,04 Dekabr 2022 ,,
5938,Yeni tikili,16 / 17,72 m²,2,var,144000,AZN,"Qara Qarayev m.,Nizami r.",40.39026819642278,Bakı,49.95772004127506,3027214,03 Noyabr 2022 ,var,var
5939,Yeni tikili,15 / 17,145 m²,3,var,268000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,3027215,03 Noyabr 2022 ,,
5940,Yeni tikili,12 / 20,142 m²,4,var,250000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39387743267166,Bakı,49.79549352645873,3027216,03 Noyabr 2022 ,var,var
5941,Yeni tikili,14 / 16,120 m²,3,var,208500,AZN,"Səbail r.,Badamdar q.",40.40210780478213,Bakı,49.85758781433109,3027219,20 Noyabr 2022 ,,
5942,Köhnə tikili,9 / 12,70 m²,2,var,95000,AZN,Binəqədi r.,40.37024250177031,Bakı,49.97394200996779,3027228,11 Noyabr 2022 ,var,var
5943,Köhnə tikili,1 / 5,29 m²,1,var,63500,AZN,Yasamal r.,40.3651072257085,Bakı,49.81950849294662,3027231,04 Oktyabr 2022 ,,
5944,Köhnə tikili,3 / 5,100 m²,3,var,130000,AZN,"Montin bazarı ,Rəssamlıq Akademiyası ,Nərimanov r.",40.37660389427779,Bakı,49.8131650686264,3027238,07 Oktyabr 2022 ,,
5945,Yeni tikili,10 / 18,152 m²,3,var,335000,AZN,"Nizami m.,Beşmərtəbə ,Yasamal r.",40.37224994422943,Bakı,49.83342432222912,3027250,03 Noyabr 2022 ,,
5946,Yeni tikili,14 / 17,139 m²,3,yoxdur,278000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.39870100903192,Bakı,49.86488335346782,3027253,03 Noyabr 2022 ,,
5947,Yeni tikili,19 / 19,62 m²,3,,77000,AZN,"Həzi Aslanov m.,Xətai r.,Əhmədli q.",40.37309747519567,Bakı,49.95346069335938,3027255,03 Noyabr 2022 ,,
5948,Köhnə tikili,2 / 7,60 m²,2,var,125000,AZN,"ASAN Xidmət №2 ,Şah İsmayıl Xətai m.,Xətai r.,Ağ şəhər q.",40.3807711643641,Bakı,49.87670456872557,3027259,03 Noyabr 2022 ,,
5949,Yeni tikili,8 / 18,100 m²,3,var,163000,AZN,Nizami r.,40.37742938831814,Bakı,49.80915784835819,3027260,27 Noyabr 2022 ,var,var
5950,Köhnə tikili,4 / 5,58 m²,2,var,85000,AZN,"20 Yanvar m.,Nəsimi r.",40.42463128324992,Bakı,49.82827342647775,3027264,03 Noyabr 2022 ,,
5951,Yeni tikili,12 / 18,176 m²,4,var,360000,AZN,"Nizami m.,Beşmərtəbə ,Yasamal r.",40.37224994422943,Bakı,49.83342432222912,3027268,03 Noyabr 2022 ,,
5952,Yeni tikili,1 / 9,47 m²,1,var,75000,AZN,Nizami r.,40.41286173895595,Bakı,49.95123889421399,3027270,23 Oktyabr 2022 ,var,var
5953,Yeni tikili,9 / 16,137 m²,3,var,245000,AZN,"Yasamal bazarı ,İnşaatçılar m.,Yasamal r.",40.38264366149726,Bakı,49.80834245681766,3027275,06 Dekabr 2022 ,var,var
5954,Köhnə tikili,8 / 9,53 m²,2,,74500,AZN,"Suraxanı r.,Hövsan q.",40.36523646497564,Bakı,50.0756935367716,3027279,10 Oktyabr 2022 ,,
5955,Köhnə tikili,5 / 5,60 m²,2,var,130000,AZN,"İzmir parkı ,Dövlət Statistika Komitəsi ,M.Hüseynzadə parkı ,Yasamal r.",40.38264366149726,Bakı,49.80834245681766,3027293,03 Noyabr 2022 ,,
5956,Yeni tikili,4 / 20,76.5 m²,1,var,145000,AZN,"Bakı Asiya Universiteti ,8 Noyabr m.,Yasamal r.",40.37620916175648,Bakı,49.81580107043555,3027295,03 Noyabr 2022 ,var,var
5957,Yeni tikili,15 / 17,68 m²,1,var,126000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.40554735588255,Bakı,49.87506508827209,3027301,03 Noyabr 2022 ,,
5958,Yeni tikili,18 / 18,143 m²,3,var,346000,AZN,"Port Baku ,Cavanşir körpüsü ,Nəsimi r.",40.40441175155707,Bakı,49.86737251281738,3027303,03 Noyabr 2022 ,,
5959,Yeni tikili,7 / 18,55 m²,2,yoxdur,127000,AZN,"Şərq bazarı ,Nərimanov r.",40.39056482318203,Bakı,49.85541229149793,3027309,21 Oktyabr 2022 ,,
5960,Köhnə tikili,5 / 9,100 m²,5,var,155000,AZN,Nizami r.,40.38873191798482,Bakı,49.95395421981815,3027315,03 Noyabr 2022 ,,
5961,Yeni tikili,11 / 16,116 m²,3,yoxdur,197000,AZN,"Təhsil Nazirliyi ,Azərbaycan turizm institutu ,Nərimanov r.",40.39414959485713,Bakı,49.7993946075439,3027318,03 Noyabr 2022 ,,
5962,Yeni tikili,15 / 15,55 m²,2,yoxdur,73000,AZN,"Əhmədli m.,Xətai r.",40.39026819642278,Bakı,49.95772004127506,3027320,31 Oktyabr 2022 ,,
5963,Yeni tikili,2 / 17,82 m²,3,var,130900,AZN,"Xətai r.,Həzi Aslanov q.",40.39989258617802,Bakı,49.83979431395813,3027321,21 Noyabr 2022 ,var,var
5964,Köhnə tikili,5 / 5,90 m²,3,var,179500,AZN,"Park Zorge ,Nəsimi bazarı ,Tibb Universiteti ,Rusiya səfirliyi ,Nəsimi r.",40.38816806232006,Bakı,49.83243942260742,3027343,07 Noyabr 2022 ,,
5965,Yeni tikili,16 / 18,168.8 m²,3,var,415000,AZN,"Port Baku ,Cavanşir körpüsü ,Nəsimi r.",40.40441175155707,Bakı,49.86737251281738,3027348,03 Dekabr 2022 ,,
5966,Yeni tikili,17 / 17,110 m²,3,var,175000,AZN,"Binəqədi r.,9-cu mikrorayon q.",40.39816149998397,Bakı,49.84086155891422,3027352,04 Noyabr 2022 ,var,var
5967,Yeni tikili,8 / 20,115 m²,3,var,190000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.37024250177031,Bakı,49.97394200996779,3027353,03 Noyabr 2022 ,var,var
